"","SITECODE","LCODE","SDATE","Q1","Q2","ALKY","SODIUM","SO4S","TOTALN","ALUMINIUM","CALCIUM","CHLORIDE","CONDY","DOC","IRON","MAGNESIUM","NH4N","NO3N","PH","PHAQCS","PHAQCU","PO4P","POTASSIUM","MINTMP","MAXTMP","DEPTH","SPAWNDATE","SURFAREA","PERCDEAD","NEWMASS","HATCHDATE","CONGDATE","PH1","PH2","PH3","LEAVEDATE","Q3","TOTALP","COLOUR","PH4","PH5","PH6","Q4","survey_yearday","survey_year","spawn_yearday","spawn_year","hatch_yearday","hatch_year","cong_yearday","cong_year","leave_yearday","leave_year","nh4n_numeric","no3n_numeric","surfarea_numeric","percdead_numeric"
"17","T05",1,"02-Feb-94","172",NA,NA,"6.974","0.5",NA,NA,"6.207","11.738",NA,NA,NA,"2.415","0","0.034","6.51",NA,NA,"0","1.422","4.1","8.9","17.5",NA,"6","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1994,NA,NA,NA,NA,NA,NA,NA,NA,0,0.034,6,5
"18","T05",1,"09-Feb-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.9","7.4","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","T05",1,"11-Feb-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"20","T05",1,"12-Feb-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12-Feb-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,1994,NA,NA,42,1994,NA,NA,NA,NA,NA,NA,NA,NA
"21","T05",1,"16-Feb-94",NA,NA,NA,"5.317","0.461",NA,NA,"4.048","9.03",NA,NA,NA,"1.84","0","0.005","6.46",NA,NA,"0","0.305","2.5","7.5","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,1994,NA,NA,NA,NA,NA,NA,NA,NA,0,0.005,NA,NA
"22","T06",1,"17-Feb-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17-Feb-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1994,NA,NA,NA,NA,47,1994,NA,NA,NA,NA,NA,NA
"23","T02",1,"22-Feb-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"24","T05",1,"23-Feb-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.08",NA,NA,NA,"2.4","8.7","18.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","T01",1,"24-Feb-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"26","T05",1,"28-Feb-94","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","T01",1,"28-Feb-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"28","T02",1,"01-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"29","T05",1,"02-Mar-94",NA,NA,NA,"6.893","0.565",NA,NA,"5.856","9.155",NA,NA,NA,"2.386","0.094","0.012","6.17",NA,NA,"0","1.011","5.2","9.6","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1994,NA,NA,NA,NA,NA,NA,NA,NA,0.094,0.012,NA,NA
"30","T06",1,"03-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03-Mar-94","0.7","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,1994,61,1994,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0
"31","T06",1,"04-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","8","12",NA,"0.7","0","0",NA,NA,"7.6","7.7","7.8",NA,NA,NA,NA,NA,NA,NA,NA,62,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0
"32","T01",1,"04-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","04-Mar-94","0.3","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1994,62,1994,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0
"33","T06",1,"05-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0
"34","T03",1,"05-Mar-94","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05-Mar-94","3.5","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,1994,63,1994,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0
"35","T06",1,"06-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0
"36","T03",1,"06-Mar-94","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.5","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,0
"37","T02",1,"06-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","420",NA,NA,NA,NA,NA,NA,"4.4","4.3","4.3",NA,NA,NA,NA,NA,NA,NA,NA,64,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","T08",1,"07-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,1994,NA,NA,NA,NA,65,1994,NA,NA,NA,NA,NA,NA
"39","T03",1,"07-Mar-94","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.5","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,0
"40","T06",1,"07-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","16","11",NA,"2.4","0","4",NA,NA,"7.8","7.7","7.6",NA,NA,NA,NA,NA,NA,NA,NA,65,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,0
"41","T01",1,"07-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","10","24",NA,"0.3","0","0",NA,NA,"7.2","7.1","7.6",NA,NA,NA,NA,NA,NA,NA,NA,65,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0
"42","T03",1,"08-Mar-94","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.5","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,0
"43","T02",1,"08-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"44","T08",1,"09-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09-Mar-94","1",NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,1994,67,1994,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"45","T05",1,"09-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.33",NA,NA,NA,NA,"4.6","11.6","17.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","T03",1,"09-Mar-94","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","8","16.2",NA,"9","0","1",NA,NA,"6.5","6.7","6.7",NA,NA,NA,NA,NA,NA,NA,NA,67,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0
"47","T03",1,"10-Mar-94","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1
"48","T01",1,"10-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3","50","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,50
"49","T06",1,"14-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","21","11",NA,"2.4","0","0",NA,NA,"7.6","7.3","7.4",NA,NA,NA,NA,NA,NA,NA,NA,72,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,0
"50","T01",1,"14-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6","25",NA,"0.3","80","0",NA,NA,"7.4","7.3","7.2",NA,NA,NA,NA,NA,NA,NA,NA,72,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,80
"51","T02",1,"15-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"52","T05",1,"16-Mar-94",NA,NA,NA,"5.502","0.393",NA,NA,"7.099","9.893",NA,NA,NA,"2.583","0.436","0.019","6.45",NA,NA,"0","0.688","4.6","11.8","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,1994,NA,NA,NA,NA,NA,NA,NA,NA,0.436,0.019,NA,NA
"53","T03",1,"16-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","9","16",NA,NA,NA,NA,NA,NA,"6.8","6.7","6.7",NA,NA,NA,NA,NA,NA,NA,NA,74,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","T04",1,"16-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"55","T04",2,"16-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"56","T04",3,"16-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"57","T04",4,"16-Mar-94","101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"58","T08",1,"17-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,"1",NA,"0",NA,NA,"8","7.9","7.9",NA,NA,NA,NA,NA,NA,NA,NA,75,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"59","T06",1,"18-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,1994,NA,NA,76,1994,NA,NA,NA,NA,NA,NA,NA,NA
"60","T01",1,"21-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","7","25",NA,"0.3","100","0",NA,NA,"7.1","7.4","7.4",NA,NA,NA,NA,NA,NA,NA,NA,79,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,100
"61","T02",2,"22-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,1994,80,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","T02",1,"22-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"63","T03",1,"23-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","10","16",NA,NA,NA,NA,NA,NA,"6.3","6.6","6.6",NA,NA,NA,NA,NA,NA,NA,NA,81,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","T04",1,"23-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"65","T04",2,"23-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"66","T04",3,"23-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"67","T04",4,"23-Mar-94","101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,"23-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,1994,NA,NA,NA,NA,81,1994,NA,NA,NA,NA,0,0
"68","T05",1,"23-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.94",NA,NA,NA,NA,"5.4","12.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","T06",1,"24-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","19","11",NA,"2.4","0","0",NA,NA,"7.8","8.1","7.7",NA,NA,NA,NA,NA,NA,NA,NA,82,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,0
"70","T08",1,"24-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.5",NA,"1",NA,"0",NA,NA,"7.2","7.4","7.5",NA,NA,NA,NA,NA,NA,NA,NA,82,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"71","T01",1,"28-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","14","20",NA,NA,NA,NA,NA,NA,"7.2","7.3","7.5",NA,NA,NA,NA,NA,NA,NA,NA,86,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","T06",1,"29-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","22","10",NA,"2.4","0","0",NA,NA,"7.8","7.7","7.6",NA,NA,NA,NA,NA,NA,NA,NA,87,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,0
"73","T02",1,"29-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29-Mar-94","0.5","1","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,1994,87,1994,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1
"74","T02",1,"30-Mar-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","290",NA,"0.6","1","5",NA,NA,"4.3","4.3","4.3",NA,NA,NA,NA,NA,NA,NA,NA,88,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1
